model,setting,er_dice,mito_dice,mito_pq
QuantEM,frozen,0.00835125302746973,0.4695147233356328,0.16726438714099007
QuantEM,lora,0.1906811514917174,0.6198033850544882,0.31017423857212834
QuantEM,last_n,0.14984771580542536,0.6930985519140958,0.36170935197284176
QuantEM,full,0.22985513882882702,0.6725418302531213,0.28563328489509077
