model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,infer_s,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq,target_nm,model_type,force_scale
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00010,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.007732,0.003881,0.443357,0.0039,0.007732,0.986829,0.999935,861,1081,219894,16555380,220755,1942,1617404,0.136487,0.015528,0.028833,ok,0.403,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00011,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.029278,0.014856,0.765793,0.014924,0.029278,0.990992,0.999958,2279,697,150425,16623815,152704,2976,1592480,0.095891,0.050082,0.06085,ok,0.438,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00012,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.01222,0.006147,0.539474,0.00618,0.01222,0.990913,0.999952,943,805,151650,16623818,152593,1748,1536240,0.099329,0.020336,0.037533,ok,0.419,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00013,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.014545,0.007326,0.759314,0.007343,0.014545,0.99177,0.999981,1019,323,137755,16638119,138774,1342,1431756,0.096926,0.017115,0.025225,ok,0.418,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00014,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.000279,0.00014,0.098361,0.00014,0.000279,0.992325,0.99999,18,165,128607,16648426,128625,183,1316310,0.097716,0.000841,0.001646,ok,0.391,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00015,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.000502,0.000251,0.039801,0.000253,0.000502,0.996202,0.999977,16,386,63335,16713479,63351,402,1157360,0.054738,0.003019,0.002096,ok,0.421,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00016,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.0,0.0,0.0,0.0,0.0,0.996892,0.999946,0,905,51240,16725071,51240,905,1074480,0.047688,0.0,0.0,ok,0.433,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00017,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.035367,0.018002,0.516402,0.01831,0.035367,0.996622,0.999942,1039,973,55705,16719499,56744,2012,976800,0.058092,0.008485,0.01297,ok,0.431,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00018,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.002945,0.001475,0.059094,0.00151,0.002945,0.996892,0.999927,77,1226,50912,16725001,50989,1303,1089280,0.04681,0.003671,0.00263,ok,0.416,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00019,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.009259,0.004651,0.520596,0.004671,0.009259,0.98662,0.999942,1049,966,223516,16551685,224565,2015,1927940,0.116479,0.015172,0.023875,ok,0.463,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00020,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.005675,0.002846,0.245894,0.002871,0.005675,0.989056,0.999903,524,1607,182003,16593082,182527,2131,2053930,0.088867,0.012719,0.011771,ok,0.425,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00021,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.00403,0.002019,0.505263,0.002023,0.00403,0.9901,0.99998,336,329,165765,16610786,166101,665,2100810,0.079065,0.011836,0.01235,ok,0.429,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00022,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.009159,0.0046,0.832744,0.004605,0.009159,0.990882,0.999991,707,142,152830,16623537,153537,849,2162340,0.071005,0.020455,0.016543,ok,0.412,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00023,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.027172,0.013773,0.91643,0.013791,0.027172,0.99312,0.999991,1612,147,115280,16660177,116892,1759,2118390,0.05518,0.041704,0.054445,ok,0.442,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00024,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.00877,0.004404,0.818004,0.004409,0.00877,0.994368,0.999994,418,93,94392,16682313,94810,511,2092020,0.04532,0.015704,0.010638,ok,0.433,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00025,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.00047,0.000235,0.007423,0.000243,0.00047,0.995434,0.999856,18,2407,74195,16700596,74213,2425,2080300,0.035674,0.002536,0.004495,ok,0.416,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00026,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.020996,0.010609,0.46941,0.010738,0.020996,0.995309,0.999943,844,954,77756,16697662,78600,1798,2080386,0.037781,0.033698,0.037673,ok,0.612,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00027,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.0007,0.00035,0.182609,0.000351,0.0007,0.996429,0.999994,21,94,59822,16717279,59843,115,2077370,0.028807,0.003353,0.0,ok,0.428,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00028,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.006894,0.003459,0.995495,0.003459,0.006894,0.996205,1.0,221,1,63671,16713323,63892,222,2074440,0.0308,0.015267,0.015077,ok,0.42,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00029,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.003291,0.001648,0.149847,0.001664,0.003291,0.996461,0.999967,98,556,58813,16717749,58911,654,2097880,0.028081,0.006803,0.007918,ok,0.41,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00030,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.042702,0.021817,0.420529,0.022493,0.042702,0.996047,0.999878,1479,2038,64275,16709424,65754,3517,2048070,0.032105,0.072514,0.09617,ok,0.419,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00031,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.040531,0.020685,0.652987,0.020915,0.040531,0.995465,0.999949,1607,854,75229,16699526,76836,2461,2056860,0.037356,0.06543,0.076725,ok,0.413,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00032,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.010872,0.005466,0.252637,0.005555,0.010872,0.994284,0.999907,527,1559,94335,16680795,94862,2086,2036350,0.046584,0.011732,0.042273,ok,0.443,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00033,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.023434,0.011856,0.327116,0.012152,0.023434,0.993204,0.999831,1368,2814,111203,16661831,112571,4182,2015840,0.055843,0.028074,0.054631,ok,0.408,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00034,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.008413,0.004224,0.423956,0.004249,0.008413,0.992441,0.999956,538,731,126086,16649861,126624,1269,2009980,0.062998,0.01432,0.017023,ok,0.483,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00035,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.017188,0.008668,0.567515,0.008726,0.017188,0.99407,0.99996,870,663,98833,16676850,99703,1533,2012910,0.049532,0.027786,0.044652,ok,0.419,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00036,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.040327,0.020578,0.703467,0.020758,0.040327,0.994071,0.999947,2090,881,98592,16675653,100682,2971,1974820,0.050983,0.069655,0.09602,ok,0.421,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00037,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.015422,0.007771,0.662651,0.007802,0.015422,0.993303,0.999973,880,448,111914,16663974,112794,1328,1966030,0.057371,0.016457,0.031944,ok,0.418,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00038,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.01781,0.008985,0.6767,0.009024,0.01781,0.991427,0.999963,1304,623,143206,16632083,144510,1927,1954310,0.073944,0.012678,0.027708,ok,0.425,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00039,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.033785,0.017183,0.55168,0.017426,0.033785,0.991265,0.999875,2562,2082,144461,16628111,147023,4644,1892780,0.077676,0.039612,0.061937,ok,0.44,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set2_00040,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,0.002888,0.001446,0.296784,0.001451,0.002888,0.991644,0.999971,203,481,139702,16636830,139905,684,1892780,0.073915,0.003009,0.005904,ok,0.415,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00041,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.017282,0.008716,0.200587,0.00903,0.017282,0.99537,0.999837,683,2722,74953,16698858,75636,3405,2366330,0.031963,0.028887,0.05765,ok,0.817,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00042,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.060461,0.031173,0.671347,0.031656,0.060461,0.995217,0.999924,2582,1264,78982,16694388,81564,3846,2400360,0.03398,0.084644,0.12485,ok,0.413,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00043,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.003009,0.001507,0.221034,0.001515,0.003009,0.995102,0.999974,124,437,81731,16694924,81855,561,2443520,0.033499,0.004745,0.010966,ok,0.395,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00044,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.016363,0.008249,0.427627,0.008341,0.016363,0.995364,0.999948,647,866,76919,16698784,77566,1513,2432100,0.031893,0.014041,0.038949,ok,0.417,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00045,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.032164,0.016345,0.766267,0.016427,0.032164,0.995649,0.999978,1213,370,72630,16703003,73843,1583,2446840,0.030179,0.034013,0.070051,ok,0.412,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00046,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.02487,0.012592,0.840726,0.012622,0.02487,0.996102,0.999991,834,158,65242,16710982,66076,992,2446840,0.027005,0.032439,0.03926,ok,0.405,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00047,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.050765,0.026044,0.69894,0.026339,0.050765,0.995736,0.999951,1913,824,70717,16703762,72630,2737,2446840,0.029683,0.064426,0.112018,ok,0.433,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00048,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.022171,0.01121,0.714408,0.01126,0.022171,0.995594,0.99998,838,335,73583,16702460,74421,1173,2442690,0.030467,0.033552,0.049988,ok,0.419,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00049,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.009769,0.004908,0.588825,0.004925,0.009769,0.995034,0.999983,411,287,83036,16693482,83447,698,2446840,0.034104,0.019946,0.022716,ok,0.425,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00050,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.017583,0.008869,0.542979,0.008936,0.017583,0.99575,0.999968,638,537,70758,16705283,71396,1175,2446840,0.029179,0.026669,0.047438,ok,0.407,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00051,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.039149,0.019965,0.344444,0.020754,0.039149,0.996009,0.999845,1364,2596,64358,16708898,65722,3960,2446840,0.02686,0.058188,0.092829,ok,0.458,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00052,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.019198,0.009692,0.121924,0.010419,0.019198,0.995987,0.999716,659,4746,62589,16709222,63248,5405,2402620,0.026325,0.023852,0.039457,ok,0.429,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00053,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.006997,0.003511,0.557692,0.003521,0.006997,0.996566,0.99999,203,161,57459,16719393,57662,364,2346608,0.024572,0.015456,0.028652,ok,0.42,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00054,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.007747,0.003888,0.365482,0.003915,0.007747,0.996702,0.999978,216,375,54959,16721666,55175,591,2317070,0.023812,0.011942,0.026583,ok,0.42,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00055,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.022894,0.011579,0.190573,0.012178,0.022894,0.996174,0.999809,752,3194,60997,16712273,61749,3946,2301426,0.026831,0.027682,0.056768,ok,0.428,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set3_00056,sparse,6.5104,Set3_-_AIVE_SOURCE_DATA/Dataset3_overview.tif,0.010038,0.005045,0.188669,0.005156,0.010038,0.99585,0.999909,353,1518,68106,16707239,68459,1871,2249324,0.030435,0.011149,0.033814,ok,0.421,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00000,sparse,8,Ctrl/ROI_CICGFA_001.tif,0.003776,0.001892,0.01094,0.002282,0.003776,0.996918,0.999471,98,8860,42849,16725409,42947,8958,1991960,0.02156,0.008396,0.009175,ok,0.429,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00001,sparse,8,Ctrl/ROI_CICGFA_026.tif,0.0,0.0,0.0,0.0,0.0,0.998585,0.999925,0,1259,22473,16753484,22473,1259,2042784,0.011001,0.0,0.0,ok,0.421,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00002,sparse,8,Ctrl/ROI_CICGFA_051.tif,0.0,0.0,0.0,0.0,0.0,0.998506,0.999902,0,1647,23418,16752151,23418,1647,1646182,0.014226,0.0,0.0,ok,0.428,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00003,sparse,8,Ctrl/ROI_CICGFA_076.tif,0.0,0.0,0.0,0.0,0.0,0.998058,0.99993,0,1177,31411,16744628,31411,1177,2101330,0.014948,0.0,0.0,ok,0.446,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00004,sparse,8,Ctrl/ROI_CICGFA_101.tif,0.0,0.0,0.0,0.0,0.0,0.998326,0.999881,0,1993,26088,16749135,26088,1993,2265480,0.011515,0.0,0.0,ok,0.415,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00005,sparse,8,Ctrl/ROI_CICGFA_126.tif,0.0,0.0,0.0,0.0,0.0,0.998243,0.999957,0,713,28767,16747736,28767,713,2234500,0.012874,0.0,0.0,ok,0.433,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00006,sparse,8,Ctrl/ROI_CICGFA_176.tif,0.0,0.0,0.0,0.0,0.0,0.998401,0.999951,0,828,25999,16750389,25999,828,1204224,0.02159,0.0,0.0,ok,0.451,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00007,sparse,8,Ctrl/ROI_CICGFA_201.tif,0.0,0.0,0.0,0.0,0.0,0.997993,0.999982,0,304,33362,16743550,33362,304,1215669,0.027443,0.0,0.0,ok,0.448,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,ctrl_00008,sparse,8,Ctrl/ROI_CICGFA_226.tif,0.0,0.0,0.0,0.0,0.0,0.998223,0.999977,0,384,29437,16747395,29437,384,1270692,0.023166,0.0,0.0,ok,0.419,,,,,,,,,,,,,,,,
