model,organelle,dataset,dataset_label,n_crops,dice_mean,dice_std,dice_median,dice_n,iou_mean,iou_std,iou_median,iou_n,precision_mean,precision_std,precision_median,precision_n,recall_mean,recall_std,recall_median,recall_n,f1_mean,f1_std,f1_median,f1_n,accuracy_mean,accuracy_std,accuracy_median,accuracy_n,specificity_mean,specificity_std,specificity_median,specificity_n,tp_mean,tp_std,tp_median,tp_n,fp_mean,fp_std,fp_median,fp_n,fn_mean,fn_std,fn_median,fn_n,tn_mean,tn_std,tn_median,tn_n,gt_area_mean,gt_area_std,gt_area_median,gt_area_n,pred_area_mean,pred_area_std,pred_area_median,pred_area_n,eval_area_mean,eval_area_std,eval_area_median,eval_area_n,gt_frac_mean,gt_frac_std,gt_frac_median,gt_frac_n,cldice_mean,cldice_std,cldice_median,cldice_n,boundary_f1_mean,boundary_f1_std,boundary_f1_median,boundary_f1_n,inst_n_pred_mean,inst_n_pred_std,inst_n_pred_median,inst_n_pred_n,inst_n_gt_mean,inst_n_gt_std,inst_n_gt_median,inst_n_gt_n,inst_precision@0.5_mean,inst_precision@0.5_std,inst_precision@0.5_median,inst_precision@0.5_n,inst_recall@0.5_mean,inst_recall@0.5_std,inst_recall@0.5_median,inst_recall@0.5_n,inst_f1@0.5_mean,inst_f1@0.5_std,inst_f1@0.5_median,inst_f1@0.5_n,inst_ap@0.5_mean,inst_ap@0.5_std,inst_ap@0.5_median,inst_ap@0.5_n,inst_precision@0.75_mean,inst_precision@0.75_std,inst_precision@0.75_median,inst_precision@0.75_n,inst_recall@0.75_mean,inst_recall@0.75_std,inst_recall@0.75_median,inst_recall@0.75_n,inst_f1@0.75_mean,inst_f1@0.75_std,inst_f1@0.75_median,inst_f1@0.75_n,inst_ap@0.75_mean,inst_ap@0.75_std,inst_ap@0.75_median,inst_ap@0.75_n,inst_pq_mean,inst_pq_std,inst_pq_median,inst_pq_n,inst_sq_mean,inst_sq_std,inst_sq_median,inst_sq_n,inst_rq_mean,inst_rq_std,inst_rq_median,inst_rq_n,target_nm_mean,target_nm_std,target_nm_median,target_nm_n,force_scale_mean,force_scale_std,force_scale_median,force_scale_n
incasem,er,deepcontact_tem,DeepContact,9,0.154369,0.050911,0.138709,9,0.084478,0.030388,0.074523,9,0.189049,0.081525,0.189891,9,0.140817,0.050495,0.12303,9,0.154369,0.050911,0.138709,9,0.991074,0.002348,0.992003,9,0.996262,0.000977,0.996099,9,14679.333333,7967.150738,10500.0,9,62345.111111,16330.777415,64853.0,9,87405.111111,40219.997479,74935.0,9,16612786.444444,46032.172457,16632549.0,9,102084.444444,46188.897776,87650.0,9,77024.444444,19519.996284,78323.0,9,1219539.555556,120802.397318,1238472.0,9,0.084871,0.040737,0.074584,9,0.166433,0.062674,0.159331,9,0.258947,0.075446,0.256611,9,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,74,0.366556,0.105974,0.387185,74,0.229414,0.077327,0.240069,74,0.318082,0.114031,0.324103,74,0.468562,0.097864,0.486387,74,0.366556,0.105974,0.387185,74,0.99536,0.002426,0.995932,74,0.997039,0.001331,0.996995,74,28156.445946,23122.686776,19829.0,74,49463.283784,22145.953339,50351.0,74,28390.094595,21540.186744,20657.5,74,16671206.175676,63133.179449,16690026.0,74,56546.540541,44326.060953,40580.0,74,77619.72973,43048.424483,68168.5,74,991819.635135,392899.306037,1010154.0,74,0.054073,0.027274,0.04978,74,0.408369,0.111709,0.436496,74,0.441318,0.119468,0.465262,74,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,er,empiar_12885_aive,AIVE,57,0.414246,0.104344,0.38684,57,0.266863,0.085806,0.239803,57,0.381124,0.149328,0.334979,57,0.483617,0.065279,0.491489,57,0.414246,0.104344,0.38684,57,0.990737,0.002551,0.99114,57,0.994575,0.001094,0.994444,57,62071.807018,38035.841393,42320.0,57,90334.403509,18249.882838,92463.0,57,65067.736842,38919.282853,46102.0,57,16559742.052632,75482.075057,16581472.0,57,127139.54386,75206.456028,94862.0,57,152406.210526,38779.436648,145947.0,57,1997753.263158,368766.299235,2053930.0,57,0.066801,0.041271,0.050983,57,0.431033,0.10938,0.413594,57,0.450866,0.098689,0.422619,57,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,er,empiar_13156_hela_stard3_er,EMPIAR-13156,84,0.064248,0.044281,0.053262,84,0.033738,0.023944,0.027359,84,0.045762,0.033363,0.037983,84,0.129675,0.093147,0.127146,84,0.064248,0.044281,0.053262,84,0.993941,0.002483,0.994042,84,0.995435,0.002027,0.995692,84,4106.892857,3762.175666,2298.0,84,76431.690476,33918.432255,72109.5,84,25215.797619,14544.584509,24731.0,84,16671461.619048,44472.378705,16675384.5,84,29322.690476,16602.27218,30168.5,84,80538.583333,36648.162904,73549.5,84,1966612.202381,783904.3314,2232790.0,84,0.015378,0.007722,0.014696,84,0.068334,0.051215,0.05348,84,0.078152,0.053536,0.063063,84,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,er,lab_islet_liver_er,islet/liver-ER,135,0.154274,0.097065,0.121732,135,0.08676,0.060518,0.064811,135,0.171498,0.116163,0.132357,135,0.17637,0.131222,0.132621,135,0.154274,0.097065,0.121732,135,0.997867,0.001996,0.998635,135,0.999107,0.000715,0.999361,135,4637.748148,7756.716748,1707.0,135,14938.614815,11914.251743,10712.0,135,20843.474074,24404.434709,11312.0,135,16736796.162963,40615.419185,16752230.0,135,25481.222222,31089.420596,13045.0,135,19576.362963,18962.677737,12650.0,135,225186.496296,198790.237603,166026.0,135,0.09784,0.050339,0.090636,135,0.1803,0.113985,0.140686,135,0.147983,0.057689,0.143248,135,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,mito,deepcontact_tem,DeepContact,67,0.356191,0.115125,0.354128,67,0.222652,0.085462,0.215161,67,0.261455,0.104787,0.241155,67,0.624165,0.15309,0.632315,67,0.356191,0.115125,0.354128,67,0.99328,0.001756,0.993331,67,0.994478,0.001638,0.994496,67,32935.358209,16264.868632,30708.0,67,92341.746269,27401.849454,91771.0,67,20410.179104,11558.649202,17660.0,67,16631528.716418,36766.394078,16634131.0,67,53345.537313,23489.396912,53198.0,67,125277.104478,32881.747562,125747.0,67,1065479.014925,235332.901822,1141690.0,67,0.050081,0.018703,0.049145,67,0.250567,0.094233,0.248016,67,0.214091,0.084142,0.202961,67,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,mito,deeppi_em_skeletal_muscle,DeepPI,6,0.146107,0.101635,0.109985,6,0.08218,0.061493,0.058193,6,0.546597,0.15999,0.498284,6,0.087624,0.06532,0.064098,6,0.146107,0.101635,0.109985,6,0.841197,0.047958,0.834877,6,0.988652,0.006396,0.989402,6,195861.166667,108199.937154,171138.0,6,159457.5,90220.656866,146327.0,6,2504807.666667,799726.946073,2502458.0,6,13917089.666667,713535.143289,13835776.0,6,2700668.833333,707979.533532,2673596.0,6,355318.666667,141127.253653,358187.0,6,6553600.0,0.0,6553600.0,6,0.412089,0.108029,0.407959,6,0.152238,0.083387,0.125629,6,0.164006,0.068924,0.133903,6,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,mito,empiar_10982_mitonet_benchmark,MitoNet,192,0.300523,0.209747,0.286763,192,0.197164,0.167064,0.167383,192,0.318319,0.230107,0.263993,190,0.358664,0.239623,0.340132,192,0.300523,0.209747,0.286763,192,0.995636,0.004998,0.997291,192,0.99781,0.002544,0.99866,192,29377.614583,71121.472132,5917.5,192,36473.234375,42232.446853,22460.0,192,36736.557292,56459.282029,16984.5,192,16674628.59375,135295.070192,16719815.5,192,66114.171875,110833.0889,25187.5,192,65850.848958,94969.22987,35034.5,192,516820.3125,377597.697069,539612.5,192,0.116574,0.12126,0.073358,192,0.266735,0.200097,0.236127,192,0.134341,0.10348,0.104014,192,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,mito,orgsegnet_plant,PlantHunter,198,0.060709,0.087981,0.033732,198,0.033883,0.057354,0.017155,198,0.074319,0.14627,0.026786,198,0.222628,0.27915,0.088625,198,0.060709,0.087981,0.033732,198,0.933914,0.027268,0.937559,198,0.950637,0.029131,0.953469,198,41989.691919,95179.868797,17322.0,198,816470.575758,484495.685745,766155.5,198,292277.30303,375952.195299,147322.5,198,15626478.429293,476320.770657,15667827.5,198,334266.994949,395805.158613,172114.0,198,858460.267677,496054.331038,811037.0,198,11566402.555556,2575672.045301,13202713.0,198,0.042028,0.092409,0.014224,198,0.042617,0.070339,0.017097,198,0.028831,0.046954,0.018375,198,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
incasem,mito,zenodo_mitoem2,ME2-Mossy,55,0.382582,0.137945,0.40379,55,0.246504,0.119817,0.252968,55,0.356967,0.20993,0.326414,55,0.602162,0.195701,0.598979,55,0.382582,0.137945,0.40379,55,0.993979,0.004381,0.993876,55,0.994876,0.004262,0.995675,55,29183.963636,23729.757111,21529.0,55,85654.672727,71232.873231,72339.0,55,15365.181818,10039.075796,13277.0,55,16647012.181818,92388.515294,16653698.0,55,44549.145455,30691.494494,36695.0,55,114838.636364,89051.674292,104025.0,55,503440.945455,369935.29685,475800.0,55,0.160219,0.162057,0.112516,55,0.329985,0.151299,0.342845,55,0.235024,0.110548,0.231589,55,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
