Dataset,Experiment,Repository,URL,2D images,3D acquisitions,Assets
Benchmark TEM data of mouse brain previously imaged by Nikon confocal microscopy,Mouse Brain vCLEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12850,6,3,9
Benchmarking Anisotropic vEM Evaluation for Axial Super-Resolution (BRAVE-ASR),Mouse Brain Axial Super-Resolution Benchmark FIB-SEM,Zenodo,https://doi.org/10.5281/zenodo.17299282,0,2,2
BFA-treated HeLa Cell FIB-SEM Volume,HeLa Cell Early Secretory Pathway FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13469814,0,1,1
BHK-21 HCV core lipid droplets,BHK-21 Cell HCV Core Protein Steatosis TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3712,10,0,10
Bloss 2018 Mouse CA1 ssTEM,Mouse CA1 Hippocampus ssTEM,BossDB,https://doi.org/10.60533/BOSS-2018-EFTV,0,1,1
Bock 2011 Mouse Visual Cortex ssTEM,Mouse Primary Visual Cortex ssTEM,BossDB,https://doi.org/10.60533/BOSS-2011-K12H,0,1,1
Borrelia burgdorferi between neighbouring endothelial cells in a lymphatic capillary,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30043093.v1,0,1,1
Borrelia burgdorferi engulfed by a neutrophil,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30042721.v1,0,1,1
Borrelia burgdorferi in contact with the pericyte projection and the fibroblast,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30042805.v1,0,1,1
Borrelia burgdorferi partially enclosed within a lymphatic capillary of an endothelial cell,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30042739.v1,0,1,1
Borrelia burgdorferi under a pericyte in dorsal skin,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30041983.v2,0,1,1
Borrelia burgdorferi within a collagen bundle in mouse ear,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30042088.v1,0,1,1
"Brown Adipose Tissue EM — Thermogenesis & Peridroplet Mitochondria (Winn 2019, Acin-Perez 2021)",Islet and Adipose EM,BioImage Archive,https://doi.org/10.6019/S-BIAD3699,87,0,87
C. elegans Anterior Pharynx ssTEM,C. elegans Anterior Pharynx ssTEM,BossDB,https://doi.org/10.60533/BOSS-2015-FBTX,0,1,1
C. elegans motor circuit serial-section EM volumes,Caenorhabditis elegans Motor Circuit SEM,BossDB,https://doi.org/10.60533/BOSS-2022-1JI1,0,5,5
Cali 2018 aging mouse cortex FIB-SEM volumes,Aging Mouse Cortex FIB-SEM,Dryad,https://doi.org/10.5061/dryad.bh78sn5,0,6,6
Cardiac Microvascular Injury I/R & H/R Validation TEM,Mouse Cardiac Microvascular Ischemia/Reperfusion TEM,Zenodo,https://doi.org/10.5281/zenodo.17137494,11,0,11
CDX1 knockout - 857-cdx1ko,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,34,0,34
CDX1/CDX2 double knockout - 855-dblko,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,43,0,43
CDX1/CDX2 double knockout - F18-DBLKO,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,30,0,30
CDX2 knockout - 207,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,21,0,21
CDX2 knockout - 213,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,15,0,15
CDX2 knockout - 537_547,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,30,0,30
Cellular Hallmarks from Volume Electron Microscopy reveals Developmental Progression of Plasmodium Ookinetes,Plasmodium berghei Ookinete SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12951,0,23,23
Chicken Embryonic Heart Multiscale Imaging,Chicken Embryonic Heart SBF-SEM,Dryad,https://doi.org/10.5061/dryad.hdr7sqvg5,0,4,4
Chlamydomonas Cryo-Slice and View on Thermo Scientific Helios 5 Hydra PFIB,Chlamydomonas Cryo FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11275,0,1,1
CLEMSite COPB1 Knockdown FIB-SEM Cell Volumes,HeLa Cell COPB1 Knockdown FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11314,0,25,25
Comparative 3D ultrastructure of Plasmodium falciparum gametocytes,Plasmodium falciparum Gametocyte 3D Ultrastructure FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12160,0,24,24
Conjugate electron microscopy and array tomography,Mouse Cortex Conjugate Array Tomography,BossDB,https://doi.org/10.60533/BOSS-2015-EJSN,0,3,3
Control - 16 weeks,Mouse Kidney Aging and Alport Disease Matrix TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3708,49,0,49
Control - 537_547,Mouse Intestine Cdx Knockout TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3707,21,0,21
