Dataset,Experiment,Repository,URL,2D images,3D acquisitions,Assets
Drosophila Third Instar Larva EM Volume,Drosophila Larva Nociceptive Circuit TEM,BossDB,https://doi.org/10.60533/BOSS-2017-0DCV,0,1,1
Drosophila ventral nerve cord (VNC),Drosophila Ventral Nerve Cord FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.24944649,0,1,1
Drosophila Whole Larval CNS ssTEM (acardona_0111_8),Drosophila Larval CNS ssTEM,BossDB,https://doi.org/10.60533/BOSS-2015-WYEW,0,1,1
Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype (TEM data),Human Engineered Heart Tissue Dynamic Loading TEM,Zenodo,https://doi.org/10.5281/zenodo.5056166,168,0,168
Efficient cell-wide mapping of mitochondria in electron microscopic volumes using webKnossos,Mouse Multi-Organ mito-SegEM SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12535,0,3,3
Electron microscopy images of thalamus from acutely hydrogen sulfide poisoned mice,Hydrogen Sulfide Poisoned Mouse Thalamus TEM,Dryad,https://doi.org/10.5061/dryad.k3j9kd5ds,13,0,13
Electron tomography - Myotubes:Fam134bKO and WT,Mouse Myotube FAM134B ER Electron Tomography,EMPIAR,https://doi.org/10.6019/EMPIAR-12473,0,2,2
Electron tomography of endosymbiotic bacteria inside a bacteriocyte of the cereal weevil Sitophilus oryzae - EMPIAR-12198,Weevil Bacteriocyte Endosymbiont Tubular Networks ET,EMPIAR,https://doi.org/10.6019/EMPIAR-12198,0,1,1
Electron tomography of endosymbiotic bacteria inside a bacteriocyte of the cereal weevil Sitophilus oryzae - EMPIAR-12602,Weevil Bacteriocyte Endosymbiont Tubular Networks ET,EMPIAR,https://doi.org/10.6019/EMPIAR-12602,0,1,1
Electron tomography of mitochondria from adult and aged mice hearts,Mouse Heart Mitochondria ET,EMPIAR,https://doi.org/10.6019/EMPIAR-13004,0,1,1
Enigmatic tubular ultrastructure in the bacterial defensive symbiont of the Asian citrus psyllid Diaphorina citri,Candidatus Profftella armatura Tubular Ultrastructure SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.29371466.v2,0,2,2
Entire C. elegans dauer larva (e1370) volume,C. elegans Dauer Larva FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.20376591,0,1,1
Exploring the 3D structure of chromosomes in mitotic cells,Human Mitotic Chromosome SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11953,0,13,13
FAST-EM array tomography data of rat pancreas prepared with rOTO protocol and stained with neodymium acetate - EMPIAR-12174 (4x4 mosaics),Rat Pancreas FAST-EM Array Tomography,EMPIAR,https://doi.org/10.6019/EMPIAR-12174,0,43,43
FAST-EM array tomography data of rat pancreas prepared with rOTO protocol and stained with neodymium acetate - EMPIAR-12193 (10x10 mosaics),Rat Pancreas FAST-EM Array Tomography,EMPIAR,https://doi.org/10.6019/EMPIAR-12193,0,72,72
FAST-EM array tomography data of wild-type MCF-7 cells prepared with the rOTO protocol and stained with uranyl acetate,MCF-7 Cell FAST-EM Array Tomography,EMPIAR,https://doi.org/10.6019/EMPIAR-12190,0,55,55
FIB-SEM Chinese Hamster Ovary cell line sample dataset,Contextual High-throughput vEM Acquisition FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12660,0,1,1
"FIB-SEM Dataset (Obara + Nixon-Abell et al., 2023)",COS-7 Cell ER-Mitochondria Contact Site FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.24502954.v1,0,1,1
FIB-SEM dataset of a human bone osteosarcoma epithelial cell (U2-OS),U2-OS Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11746,0,1,1
FIB-SEM dataset showing localization of a Golgi matrix protein GM130 in human hepatocellular carcinoma cell (Huh-7),Huh-7 GM130 FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11849,0,1,1
FIB-SEM datasets of hippocampal neurons from WT and FAM92A1 knockout mice,Mouse Hippocampus FAM92A1 Knockout FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12041,0,2,2
"FIB-SEM imaging of control HeLa cells, cells expressing WT STARD3, and cells expressing the STARD3 FA/YA mutant",HeLa STARD3 ER-Lysosome Contact FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-13156,0,3,3
FIB-SEM Mouse kidney tissue samples,Contextual High-throughput vEM Acquisition FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12674,0,1,1
FIB-SEM Nicotiana benthamiana epidermal cell,Contextual High-throughput vEM Acquisition FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12659,0,1,1
FIB-SEM Nicotiana benthamiana epidermal cell - conventional acquisition,Contextual High-throughput vEM Acquisition FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12662,0,1,1
FIB-SEM of 2-cell-stage like cells (2CLC) in mouse embryonic stem cells (mESC),Mouse ESC-Derived 2-Cell-Like Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-13260,0,2,2
FIB-SEM of a dividing cell at 5.3 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10104,0,1,1
FIB-SEM of a dividing cell at 5.7 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10105,0,1,1
FIB-SEM of a HeLa cell,HeLa Cell FIB-SEM AMST Alignment,EMPIAR,https://doi.org/10.6019/EMPIAR-10311,0,1,1
FIB-SEM of an Mbp-deficient shiverer mouse optic nerve,Mouse Optic Nerve Mbp Knockout FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10907,0,1,1
FIB-SEM of Gemmata obscuriglobus - a species of the Planctomycetes phylum,Planctomycetes Bacteria FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10553,0,1,1
FIB-SEM of mouse optic nerve of an inducible conditional Mbp knock-out 16 weeks after induction,Mouse Optic Nerve Mbp Knockout FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10906,0,1,1
FIB-SEM of mouse optic nerve of an inducible conditional Mbp knock-out 26 weeks after induction,Mouse Optic Nerve Mbp Knockout FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10908,0,1,1
FIB-SEM of parapodia from Platynereis dumerilii,Platynereis dumerilii Parapodia FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10310,0,1,1
"FIB-SEM of U2OS cell at leading edge of a wound assay, LPA stimulated, polarized",U2-OS Cell Wound Assay Leading Edge FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11002,0,1,1
"FIB-SEM of U2OS cell at leading edge of a wound assay, non-LPA stimulated, non-polarized",U2-OS Cell Wound-Assay Leading Edge FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11003,0,1,1
FIB-SEM Rat brain tissue samples,Contextual High-throughput vEM Acquisition FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12675,0,1,1
Fib-SEM stacks for Prey (Phaeocystis antarctica) and Host (Ross Sea Dinoflagellate; RSD),Polar Plankton Organelle Hijacking FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12627,0,18,18
FIB-SEM Trypanosoma cruzi cell samples,Contextual High-throughput vEM Acquisition FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12661,0,1,1
FIB/SEM sample dataset MCB-CLEM IV Weiner,Shigella flexneri HeLa Cell Invasion FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10479,0,1,1
FIBSEM Run2 Feb 2026 pt1,Unprovenanced FIB-SEM Volume (Run2 Feb 2026 pt1),WEBKNOSSOS,https://webknossos.org/datasets/FIBSEM_Run2_Feb2026_pt1-69814e310100009701047c11,0,1,1
FluoEM mouse cortex SBEM volume,Mouse Cerebral Cortex SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/FluoEM_2016-05-26_FD0144-2_v2s2s-5abb89f348d7a73cea448019/view,0,1,1
FlyWire FAFBv14 EM Volume,Drosophila Whole-Brain Connectome (FlyWire FAFB) TEM,BossDB,https://doi.org/10.60533/BOSS-2020-F81C,0,1,1
Focused Ion Beam - Scanning Electron Microscopy volume of the aboral pole of a Nematostella Vectensis polyp,Nematostella vectensis Aboral Pole FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-13099,0,1,1
Focused Ion Beam-Scanning Electron Microscopy of mitochondrial reticulum in murine skeletal muscle,Mouse Skeletal Muscle Mitochondrial Reticulum FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10070,0,1,1
Giant mitochondria in NAFLD liver - array tomography volumes (4 patients),Human Liver Giant Mitochondria NAFLD SEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3713,0,4,4
GLAM Rat Hippocampus Demo Bundle,Rat Hippocampus FIB-SEM,Dryad,https://doi.org/10.5061/dryad.808k4r0,0,1,1
GRX Cell Line,GRX Murine Hepatic Stellate Cell Line TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3727,50,0,50
GRX Cell Line - Viral Particles,GRX Murine Hepatic Stellate Cell Line TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3727,14,0,14
GT1-7 FIB-SEM Treatment Series,Mouse GT1-7 Neuron Spermidine Autophagy FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10946,0,6,6
"Guinea pig brain, skeletal muscle and skin",Guinea Pig Multi-Organ SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,5,0,5
H89-treated HeLa Cell FIB-SEM Volume - cell 1,HeLa Cell Early Secretory Pathway FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13469964,0,1,1
H89-treated HeLa Cell FIB-SEM Volume - cell 2,HeLa Cell Early Secretory Pathway FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13469970,0,1,1
Harris 2015 Hippocampal Neuropil 3DEM - Apical Dendrite,Rat Hippocampal CA1 Neuropil TEM,WEBKNOSSOS,https://webknossos.org/datasets/kharris15_apical-5c7e907c010000160cc8d8d0/view,0,1,1
Harris 2015 Hippocampal Neuropil 3DEM - Oblique Dendrite,Rat Hippocampal CA1 Neuropil TEM,WEBKNOSSOS,https://webknossos.org/datasets/kharris15_oblique-5c7e907c010000790cc8d8cf/view,0,1,1
Harris 2015 Hippocampal Neuropil 3DEM - Spine,Rat Hippocampal CA1 Neuropil TEM,WEBKNOSSOS,https://webknossos.org/datasets/kharris15_spine-5c7e907c010000c60bc8d8ce/view,0,1,1
Harris 2015 Rat Hippocampal CA1 Neuropil,Rat Hippocampal CA1 Neuropil TEM,BossDB,https://doi.org/10.60533/BOSS-2015-GYEN,0,3,3
HeLa cell miniLM CLEM SBF-SEM stack,HeLa Cell CLEM SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.192470,0,1,1
HeLa Cell with RUSH Cargo FIB-SEM Volume - jrc_hela-21,HeLa Cell Early Secretory Pathway FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13469550,0,1,1
HeLa Cell with RUSH Cargo FIB-SEM Volume - jrc_hela-22,HeLa Cell Early Secretory Pathway FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13469901,0,1,1
Hildebrand 2017 Larval Zebrafish ssEM,Larval Zebrafish Brain SEM,BossDB,https://doi.org/10.60533/BOSS-2017-VAW4,0,2,2
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 1,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12585,0,1,1
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 2,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12586,0,1,1
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 3,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12587,0,1,1
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 4b,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12591,0,1,1
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 5 part 1,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12592,0,1,1
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 5 part 2,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12610,0,1,1
Horizontal cell connectivity in the anchovy retina - a 3D electron microscopic study - Scan 6,Anchovy Retina Horizontal Cell Connectivity,EMPIAR,https://doi.org/10.6019/EMPIAR-12609,0,1,1
HuaLab Mouse Testis Tissue,Mouse Testis SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12535,0,1,1
Human Airway Epithelium ALI Culture FIB-SEM,Human Airway Epithelium ALI Culture FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.26039314,0,1,1
Human Airway Epithelium ALI FIB-SEM,Human Airway Epithelium ALI FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.26035168,0,1,1
Human Airway Epithelium FIB-SEM Volume,Human Airway Epithelium FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.25625346,0,1,1
Human Fetal Kidney TEM Tilescans,Human Fetal Kidney Nephrogenesis TEM,BioImage Archive,https://doi.org/10.17867/10000192,40,0,40
Human H5 L2/3 STG multiSEM Volume,Mammalian Cortex Connectomics,WEBKNOSSOS,https://webknossos.org/datasets/H5_10_270um_L23_NH_NJ_extended_Aug22_2021_v2-62b17edd010000f70075d7ba/view,0,1,1
Human H5-10 Superior Temporal Gyrus Volume,Mammalian Cortex Connectomics,WEBKNOSSOS,https://webknossos.org/datasets/H5_10_270um_final_v1-62b17f91010000ef0075d7bf/view,0,1,1
Human HCV liver steatosis,Human Liver Hepatitis C Steatosis TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3712,102,0,102
Human iPSC-Derived Lens Organoids Recapitulate Lens Development and Morphogenesis In Vitro,Human iPSC-Derived Lens Organoid SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12990,0,4,4
Human L2/3 IFG H6 4S Volume,Mammalian Cortex Connectomics,WEBKNOSSOS,https://webknossos.org/datasets/H6_4S_FCx_VG_synapses_v1_typ_soma_exclusion_v2-62b17fcd010000eb0075d7c0/view,0,1,1
Human L2/3 STG SBEM Volume,Mammalian Cortex Connectomics,WEBKNOSSOS,https://webknossos.org/datasets/H5_5_AMK_2021-st700_segmentation_v1_typ_soma_excl_v1-62b17f19010000aa0075d7bc/view,0,1,1
Human Liver SEM,Human Liver SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,5,0,5
Human Medial Entorhinal Cortex FIB-SEM Volumes,Human Medial Entorhinal Cortex FIB-SEM,BossDB,https://doi.org/10.60533/boss-2024-ekc7,0,61,61
Human Pancreatic Islet Organoid SEM,Human Pancreatic Islet Organoid SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,17,0,17
Human Pancreatic Islet SEM,Human Pancreatic Islet SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,37,0,37
"Human Pancreatic Islet SEM, glucose-infused",Human Pancreatic Islet SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,21,0,21
"Human pancreatic islet, condition 1",Human Pancreatic Islet SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,7,0,7
"Human pancreatic islet, condition 2",Human Pancreatic Islet SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,5,0,5
Human renal carcinoma cell,Human Renal Carcinoma FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.27075529,0,1,1
Human Skin & Mucosa STEM Nanotomy Maps,Human Skin & Mucosa Blistering Disease Nanotomy TEM,IDR,https://idr.openmicroscopy.org/study/idr0141/,10,0,10
Human Temporal Cortex H01,Human Temporal Cortex H01 SEM,WEBKNOSSOS,https://webknossos.org/datasets/h01_20210601-6128c212010000a100ca0fd7/view,0,1,1
Hydra Endodermal Nerve Net Volume EM,Hydra vulgaris Endodermal Nerve Net SEM,BossDB,https://doi.org/10.60533/BOSS-2025-08G4,0,1,1
Identifying long-range synaptic inputs using genetically encoded labels and volume electron microscopy,Mouse Periaqueductal Gray dAPEX2 Synaptic-Input FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10883,0,6,6
Images and annotations for training and testing of Glycogen-segmenter,Human Skeletal Muscle Glycogen Segmentation TEM,Zenodo,https://doi.org/10.5281/zenodo.18390286,1135,0,1135
Immortalized breast cancer cell (SUM159) - jrc_sum159-1,SUM159 Breast Cancer Cell FIB-SEM (jrc_sum159-1),OpenOrganelle,https://doi.org/10.25378/janelia.13114352,0,1,1
Immortalized breast cancer cell (SUM159) - jrc_sum159-4,SUM159 Breast Cancer Cell FIB-SEM (jrc_sum159-4),OpenOrganelle,https://doi.org/10.25378/janelia.20134103,0,1,1
Immortalized T-Cells (Jurkat) FIB-SEM volume,Jurkat T-Cell FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114259,0,1,1
Immune cells migrating from the vein in dorsal skin,Borrelia burgdorferi in Mouse Skin Vasculature SBF-SEM,figshare,https://doi.org/10.6084/m9.figshare.30042151.v1,0,1,1
Integrative imaging reveals SARS-CoV-2 induced reshaping of subcellular morphology,Human Lung Cell SARS-CoV-2 Subcellular Morphology,EMPIAR,https://doi.org/10.6019/EMPIAR-10490,0,9,9
Interleaved scanning electron microscopy: exploring native samples at the mesoscale. Adult mouse brain,Interleaved FIB-SEM of Native Cryogenic Samples,EMPIAR,https://doi.org/10.6019/EMPIAR-12244,0,1,1
Interleaved scanning electron microscopy: exploring native samples at the mesoscale. E. gracilis,Interleaved FIB-SEM of Native Cryogenic Samples,EMPIAR,https://doi.org/10.6019/EMPIAR-12239,0,1,1
Interphase COS-7 Cell FIB-SEM Volume,COS-7 Cell FIB-SEM (Xu 2021),OpenOrganelle,https://doi.org/10.25378/janelia.24944559,0,1,1
Interphase HeLa cell (jrc_hela-1) FIB-SEM volume,Interphase HeLa Cell jrc_hela-1 FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13123415,0,1,1
Interphase HeLa cell (jrc_hela-2) FIB-SEM volume,Interphase HeLa Cell jrc_hela-2 FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114211,0,1,1
Interphase HeLa cell (jrc_hela-3) FIB-SEM volume,Interphase HeLa Cell jrc_hela-3 FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114244,0,1,1
Islet EM — Weight Cycling & Insulin Secretion (Winn 2022),Islet and Adipose EM,BioImage Archive,https://doi.org/10.6019/S-BIAD3700,5,0,5
Isolated cardiomyocyte TEM images and segmentation masks,Isolated Rat Cardiomyocyte TEM,Zenodo,https://doi.org/10.5281/zenodo.17068504,9,0,9
Isolated Human Islets,Isolated Human Islets,BioImage Archive,https://doi.org/10.6019/S-BIAD3896,4,0,4
Isolated murine pancreatic islets,Mouse Pancreatic Islet FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114499,0,1,1
Isolated murine pancreatic islets - jrc_mus-pancreas-2,Mouse Pancreatic Islet FIB-SEM Low Glucose,OpenOrganelle,https://doi.org/10.25378/janelia.19196540,0,1,1
Isolated murine pancreatic islets - jrc_mus-pancreas-3,Mouse Pancreatic Islet FIB-SEM Low Glucose,OpenOrganelle,https://doi.org/10.25378/janelia.19196585,0,1,1
K0068_05 Mouse mPFC SBEM Volume,Mouse Medial Prefrontal Cortex SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/K0068_05-6037e03401000099003877e4/view,0,1,1
Kasthuri Mouse Neocortex Volume,Mouse Neocortex SEM,WEBKNOSSOS,https://webknossos.org/datasets/kasthuri2011-5c42004001000096156f49d8/view,0,1,1
KB-E0010 juvenile rat cortical glia SBF-SEM volume,Juvenile Rat Cortical Glia SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/KB-E0010-685bf5a2010000db05b3b6dd/view,0,1,1
Killer T-Cell Attacking Ovarian Cancer Cell,Mouse Cytotoxic T Lymphocyte Attacking Ovarian Carcinoma FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114454,0,1,1
Kinesin-1 activity recorded in living cells with a precipitating dye FIB-SEM data 1,HeLa Cell Kinesin-1 FIB-SEM,Zenodo,https://doi.org/10.5281/zenodo.4477917,0,1,1
L4 Mouse Cortex SBEM Volume - L4MouseCortex,Mouse Somatosensory Cortex Layer 4 SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/L4MouseCortex-63f72eb20100000f029408c0/view,0,1,1
L4 Mouse Cortex SBEM Volume - sample cutout,Mouse Somatosensory Cortex Layer 4 SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/l4_sample-5fa015dc0100007c004f80cc/view,0,1,1
L4 Mouse Somatosensory Cortex SBEM Volume - ROI2017,Mouse Somatosensory Cortex Layer 4 SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/2012-09-28_ex145_07x2_ROI2017-5da84e9401000018006d210b/view,0,1,1
L4 Mouse Somatosensory Cortex SBEM Volume - ROI2017 connectome,Mouse Somatosensory Cortex Layer 4 SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/2012-09-28_ex145_07x2_ROI2017_connectome-5de003880100001b0086553b/view,0,1,1
Larval Zebrafish Olfactory Bulb SBEM Volume,Zebrafish Larval Olfactory Bulb SBF-SEM,BossDB,https://doi.org/10.60533/BOSS-2016-U6PR,0,1,1
Leishmania mexicana Cell Cycle SBF-SEM,Leishmania mexicana Cell Cycle SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11826,0,1,1
Leishmania mexicana whole cell electron tomography,Leishmania mexicana Whole-Cell ET,Zenodo,https://doi.org/10.5281/zenodo.10652021,0,3,3
Light and electron microscopy continuum-resolution imaging of 3D cell cultures,Human 3D Cell Culture FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11380,0,4,4
Light and transmission electron microscopic images for quantitative lung morphology of mechanically ventilated rat lungs.,Mechanically Ventilated Rat Lung TEM,Zenodo,https://doi.org/10.5281/zenodo.3738928,5196,0,5196
Light-activated molecular machines display broad spectrum antibacterial action,E. coli Light-Activated Molecular Machine Antibacterial TEM,Zenodo,https://doi.org/10.5281/zenodo.5888177,4,0,4
LimeSeg Test Datasets,LimeSeg HeLa Cell FIB-SEM Test Dataset,Zenodo,https://doi.org/10.5281/zenodo.1472859,0,1,1
Lipedema adipose tissue capillaries - TEM,Human Lipedema Adipose Capillary TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3710,8,0,8
Liver - ADH-neg Control,Deer Mouse Alcohol-Induced Liver & Pancreas Injury TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3723,2,0,2
Liver - ADH-neg Ethanol-fed,Deer Mouse Alcohol-Induced Liver & Pancreas Injury TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3723,8,0,8
Liver - ADH-pos Control,Deer Mouse Alcohol-Induced Liver & Pancreas Injury TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3723,2,0,2
Liver - ADH-pos Ethanol-fed,Deer Mouse Alcohol-Induced Liver & Pancreas Injury TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3723,7,0,7
"M1 - 12 months, mutant, 4-PBA",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,7,0,7
"M10 - 12 months, mutant, PBS (vehicle)",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,6,0,6
"M11 - 12 months, mutant, PBS (vehicle)",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,6,0,6
"M12 - 12 months, mutant, PBS (vehicle)",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,5,0,5
"M2 - 12 months, mutant, 4-PBA",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,10,0,10
"M21 - 6 months, mutant, PBS (vehicle)",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,3,0,3
"M22 - 6 months, mutant, PBS (vehicle)",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,4,0,4
"M24 - 6 months, mutant, PBS (vehicle)",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,5,0,5
"M3 - 12 months, mutant, 4-PBA",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,7,0,7
"M6 - 12 months, WT, 4-PBA",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,6,0,6
"M7 - 12 months, WT, 4-PBA",Mouse Kidney Alport Syndrome 4-PBA TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3714,5,0,5
Macaque L2/3 (S1) SBF-SEM Volume,Mammalian Cortex Connectomics,WEBKNOSSOS,https://webknossos.org/datasets/Mk1_F6_L23_JS_segmentation_v2_typ_soma_excl-62b17f19010000aa0075d7bb/view,0,1,1
Macaque L2/3 STG SBF-SEM Volume,Mammalian Cortex Connectomics,WEBKNOSSOS,https://webknossos.org/datasets/Mk1_T2_STG_VG_segmentation_v1_typ_soma_exclusion_v1-62b17f55010000eb0075d7be/view,0,1,1
Macrophage cell,THP-1 Macrophage FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114343,0,1,1
Malacosporean ultrastructure (figure panels),Malacosporean Myxozoan Fish Kidney TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3704,20,0,20
Mammary gland adipocytes - TEM,Mouse Mammary Gland Adipocyte TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3710,1,0,1
Mast Cell Degranulation TEM,Mouse Mast Cell Degranulation TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3721,14,0,14
ME/CFS PBMC TEM images,Human PBMC ME/CFS TEM,Institutional repository,https://doi.org/10.25740/zm622tr7008,813,0,813
Meissner Nerve-Injury Digit Skin Volume,Mouse Digit Skin Meissner Corpuscle Nerve Injury SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/Meissner_SNI_1_VG-2021-10-15-sni1-align2-621e2194010000a1005dcdc9/view,0,1,1
Meissner Sham Digit Skin Volume,Mouse Digit Skin Meissner Corpuscle Nerve Injury SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/Meissner_Sham_1_VG-2021-10-15-sham1-align2-621e215801000011015dcdc8/view,0,1,1
MICrONS Basil Mouse Visual Cortex,MICrONS Mouse Visual Cortex TEM,BossDB,https://doi.org/10.60533/BOSS-2019-QF8A,0,1,1
MICrONS Interneuron Mouse Visual Cortex,MICrONS Mouse Visual Cortex TEM,BossDB,https://doi.org/10.60533/BOSS-2022-LGIZ,0,1,1
MICrONS Minnie Mouse Visual Cortex,MICrONS Mouse Visual Cortex TEM,BossDB,https://doi.org/10.60533/BOSS-2021-T0SY,0,2,2
MICrONS Pinky100 Mouse Visual Cortex,MICrONS Mouse Visual Cortex TEM,BossDB,https://doi.org/10.60533/BOSS-2021-GTXY,0,1,1
